Image;ID;Method;EMR
FILE_017.jpg;FILE_017.jpg_h1;Linear;0.0000
FILE_017.jpg;FILE_017.jpg_h1;Spline;0.0000
FILE_017.jpg;FILE_017.jpg_h1;Poly3;0.1082
FILE_017_0.jpg;FILE_017_0.jpg_h1;Linear;0.0000
FILE_017_0.jpg;FILE_017_0.jpg_h1;Spline;0.0000
FILE_017_0.jpg;FILE_017_0.jpg_h1;Poly3;0.0735
FILE_017_1.jpg;FILE_017_1.jpg_h1;Linear;0.0000
FILE_017_1.jpg;FILE_017_1.jpg_h1;Spline;0.0000
FILE_017_1.jpg;FILE_017_1.jpg_h1;Poly3;0.0735
FILE_017_11.jpg;FILE_017_11.jpg_h1;Linear;0.0000
FILE_017_11.jpg;FILE_017_11.jpg_h1;Spline;0.0000
FILE_017_11.jpg;FILE_017_11.jpg_h1;Poly3;0.0929
FILE_017_12.jpg;FILE_017_12.jpg_h1;Linear;0.0000
FILE_017_12.jpg;FILE_017_12.jpg_h1;Spline;0.0000
FILE_017_12.jpg;FILE_017_12.jpg_h1;Poly3;0.0735
FILE_017_13.jpg;FILE_017_13.jpg_h1;Linear;0.0000
FILE_017_13.jpg;FILE_017_13.jpg_h1;Spline;0.0000
FILE_017_13.jpg;FILE_017_13.jpg_h1;Poly3;0.0735
FILE_017_14.jpg;FILE_017_14.jpg_h1;Linear;0.0000
FILE_017_14.jpg;FILE_017_14.jpg_h1;Spline;0.0000
FILE_017_14.jpg;FILE_017_14.jpg_h1;Poly3;0.0735
FILE_017_15.jpg;FILE_017_15.jpg_h1;Linear;0.0000
FILE_017_15.jpg;FILE_017_15.jpg_h1;Spline;0.0000
FILE_017_15.jpg;FILE_017_15.jpg_h1;Poly3;0.0735
FILE_017_16.jpg;FILE_017_16.jpg_h1;Linear;0.0000
FILE_017_16.jpg;FILE_017_16.jpg_h1;Spline;0.0000
FILE_017_16.jpg;FILE_017_16.jpg_h1;Poly3;0.0758
FILE_017_17.jpg;FILE_017_17.jpg_h1;Linear;0.0000
FILE_017_17.jpg;FILE_017_17.jpg_h1;Spline;0.0000
FILE_017_17.jpg;FILE_017_17.jpg_h1;Poly3;0.0936
FILE_017_19.jpg;FILE_017_19.jpg_h1;Linear;0.0000
FILE_017_19.jpg;FILE_017_19.jpg_h1;Spline;0.0000
FILE_017_19.jpg;FILE_017_19.jpg_h1;Poly3;0.1039
FILE_017_20.jpg;FILE_017_20.jpg_h1;Linear;0.0000
FILE_017_20.jpg;FILE_017_20.jpg_h1;Spline;0.0000
FILE_017_20.jpg;FILE_017_20.jpg_h1;Poly3;0.1064
FILE_017_21.jpg;FILE_017_21.jpg_h1;Linear;0.0000
FILE_017_21.jpg;FILE_017_21.jpg_h1;Spline;0.0000
FILE_017_21.jpg;FILE_017_21.jpg_h1;Poly3;0.1321
FILE_017_22.jpg;FILE_017_22.jpg_h1;Linear;0.0000
FILE_017_22.jpg;FILE_017_22.jpg_h1;Spline;0.0000
FILE_017_22.jpg;FILE_017_22.jpg_h1;Poly3;0.0892
FILE_017_23.jpg;FILE_017_23.jpg_h1;Linear;0.0000
FILE_017_23.jpg;FILE_017_23.jpg_h1;Spline;0.0000
FILE_017_23.jpg;FILE_017_23.jpg_h1;Poly3;0.1661
FILE_017_24.jpg;FILE_017_24.jpg_h1;Linear;0.0000
FILE_017_24.jpg;FILE_017_24.jpg_h1;Spline;0.0000
FILE_017_24.jpg;FILE_017_24.jpg_h1;Poly3;0.1308
FILE_017_3.jpg;FILE_017_3.jpg_h1;Linear;0.0000
FILE_017_3.jpg;FILE_017_3.jpg_h1;Spline;0.0000
FILE_017_3.jpg;FILE_017_3.jpg_h1;Poly3;0.0735
FILE_017_4.jpg;FILE_017_4.jpg_h1;Linear;0.0000
FILE_017_4.jpg;FILE_017_4.jpg_h1;Spline;0.0000
FILE_017_4.jpg;FILE_017_4.jpg_h1;Poly3;0.0735
FILE_017_5.jpg;FILE_017_5.jpg_h1;Linear;0.0000
FILE_017_5.jpg;FILE_017_5.jpg_h1;Spline;0.0000
FILE_017_5.jpg;FILE_017_5.jpg_h1;Poly3;0.1252
FILE_017_6.jpg;FILE_017_6.jpg_h1;Linear;0.0000
FILE_017_6.jpg;FILE_017_6.jpg_h1;Spline;0.0000
FILE_017_6.jpg;FILE_017_6.jpg_h1;Poly3;0.0735
FILE_017_7.jpg;FILE_017_7.jpg_h1;Linear;0.0000
FILE_017_7.jpg;FILE_017_7.jpg_h1;Spline;0.0000
FILE_017_7.jpg;FILE_017_7.jpg_h1;Poly3;0.0929
FILE_017_8.jpg;FILE_017_8.jpg_h1;Linear;0.0000
FILE_017_8.jpg;FILE_017_8.jpg_h1;Spline;0.0000
FILE_017_8.jpg;FILE_017_8.jpg_h1;Poly3;0.0758
FILE_017_9.jpg;FILE_017_9.jpg_h1;Linear;0.0000
FILE_017_9.jpg;FILE_017_9.jpg_h1;Spline;0.0000
FILE_017_9.jpg;FILE_017_9.jpg_h1;Poly3;0.0735
FILE_021.jpg;FILE_021.jpg_h1;Linear;0.0000
FILE_021.jpg;FILE_021.jpg_h1;Spline;0.0000
FILE_021.jpg;FILE_021.jpg_h1;Poly3;0.1056
